Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Matrix,Sample Type,Parent Sample,Description,Notes,Date,Depth,Units2,Year
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412113,5/2/1968 13:30,Dissolved ortho-Phosphate,14265442,0.02,0.01,mg/L as P,"Std Method 4500-P, D [1]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,0,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412113,5/2/1968 13:30,Dissolved Nitrate,14797558,0.03,0.01,mg/L as N,"Environ. Sci. and Tech, 6/67 [P/A]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412114,5/2/1968 13:40,Dissolved ortho-Phosphate,14265442,0.03,0.01,mg/L as P,"Std Method 4500-P, D [1]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,38,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412113,5/2/1968 13:30,Dissolved Ammonia,7664417,0.04,0.01,mg/L as N,EPA 350.2 [1]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412114,5/2/1968 13:40,Dissolved Nitrate,14797558,0.06,0.01,mg/L as N,"Environ. Sci. and Tech, 6/67 [P/A]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,38,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412113,5/2/1968 13:30,Total Phosphorus,7723140,0.09,0.01,mg/L as P,UnkH Phosphorus [UnkH]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,0,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412113,5/2/1968 13:30,Total Organic Nitrogen,7727379,0.9,0.1,mg/L as N,EPA 351.3 [P/A]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412114,5/2/1968 13:40,Total Phosphorus,7723140,0.9,0.01,mg/L as P,UnkH Phosphorus [UnkH]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,38,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412114,5/2/1968 13:40,Dissolved Ammonia,7664417,1.2,0.01,mg/L as N,EPA 350.2 [1]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,38,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412114,5/2/1968 13:40,Total Organic Nitrogen,7727379,7,0.1,mg/L as N,EPA 351.3 [P/A]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,5/2/1968,38,mg/L as N ,1968
